Text,Sentiment,Clean_Text,Predicted_Sentiment
"Attended a local jazz festival, tapping toes to the tunes that have stood the test of time. Music, a lifelong love affair. #JazzFestival #SeniorMusicLover ", Joy ,attended local jazz festival tapping toes tunes stood test time music lifelong love affair jazzfestival seniormusiclover,Positive
"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog ", Gratitude ,started blog sharing wisdom gained years proving every day chance learn grow seniorwisdom blog,Neutral
"Participated in a charity run, proving that age is no barrier to supporting meaningful causes. #CharityRun #SeniorRunner ", Excitement ,participated charity run proving age barrier supporting meaningful causes charityrun seniorrunner,Positive
"Survived a challenging physics exam. Equations, you won't defeat me! ", Relief ,survived challenging physics exam equations wo defeat,Positive
Exploring the world of coding. Debugging is an adventure on its own! #CodingJourney #HighSchoolCoder , Excitement ,exploring world coding debugging adventure codingjourney highschoolcoder,Neutral
"Joined the school debate team. Words are my weapons, and I'm ready for battle! ", Excitement ,joined school debate team words weapons ready battle,Positive
"Started a photography club at school. Capturing moments, one snapshot at a time! ", Joy ,started photography club school capturing moments one snapshot time,Neutral
"Daydreaming about the upcoming prom. The dress, the dance – it's a fairytale in the making! ", Excitement ,daydreaming upcoming prom dress dance fairytale making,Neutral
Convinced the teacher to have class outdoors. Learning equations with a side of fresh air! , Positive ,convinced teacher class outdoors learning equations side fresh air,Positive
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist ", Embarrassed ,accidentally spilled paint art class abstract art right artclassadventures highschoolartist,Positive
Trying to master the perfect kickflip on my skateboard. Skating into the weekend like a pro! , Excitement ,trying master perfect kickflip skateboard skating weekend like pro,Positive
Bonding with friends over the latest K-pop sensation. Fangirling at its finest! , Joy ,bonding friends latest sensation fangirling finest,Positive
Spent hours perfecting a chemistry experiment. Mixing potions like a wizard! , Joy ,spent hours perfecting chemistry experiment mixing potions like wizard,Negative
Successfully organized a surprise birthday party for a friend. Party planning expert mode: Achieved! , Joy ,successfully organized surprise birthday party friend party planning expert mode achieved,Positive
"Joined the drama club to unleash my inner actor. Lights, camera, action! ", Excitement ,joined drama club unleash inner actor lights camera action,Positive
Got my hands on the latest fantasy novel. Diving into realms of magic and adventure! , Excitement ,got hands latest fantasy novel diving realms magic adventure,Positive
Mastering the art of the perfect doodle during boring classes. Doodles: A+! , Joy ,mastering art perfect doodle boring classes doodles,Neutral
Attempting to break the school record for the longest handstand. Wish me luck! , Excitement ,attempting break school record longest handstand wish luck,Neutral
Sneaking snacks into class like a pro. The art of snack-smuggling is a sacred skill! , Mischievous ,sneaking snacks class like pro art sacred skill,Neutral
Hosting a sleepover with friends this weekend. Preparing for a night of laughter and memories! , Excitement ,hosting sleepover friends weekend preparing night laughter memories,Neutral
"Spent hours on a TikTok dance, only to realize I have two left feet. Dance fail: Unleashed! ", Embarrassed ,spent hours tiktok dance realize two left feet dance fail unleashed,Negative
Accidentally liked my crush's old photo while stalking their profile. Awkward level: Maximum! , Embarrassed ,accidentally liked crush old photo stalking profile awkward level maximum,Positive
Tried to impress my crush with a smooth conversation. Ended up spilling my drink. Smooth level: Nonexistent! , Embarrassed ,tried impress crush smooth conversation ended spilling drink smooth level nonexistent,Positive
Mastered the art of creating paper airplanes during lecture. Paper planes: Soaring to new heights! , Joy ,mastered art creating paper airplanes lecture paper planes soaring new heights,Positive
Trying to set a new trend by juggling textbooks between classes. Academic juggling: A unique skill! , Excitement ,trying set new trend juggling textbooks classes academic juggling unique skill,Positive
Hiding a snack stash in my backpack for emergency cravings. Snack ninja mode: Activated! , Mischievous ,hiding snack stash backpack emergency cravings snack ninja mode activated,Neutral
Planning a surprise scavenger hunt for friends. Anticipating the thrill and excitement! , Excitement ,planning surprise scavenger hunt friends anticipating thrill excitement,Neutral
Danced in the rain to celebrate the end of exams. Rain dance: Unexpectedly refreshing! , Joy ,danced rain celebrate end exams rain dance unexpectedly refreshing,Positive
Accidentally sent a text meant for a friend to the class group chat. Texting fail: Oops moment! , Embarrassed ,accidentally sent text meant friend class group chat texting fail oops moment,Negative
Tried a magic trick to impress classmates. Magic fail: Where did that rabbit go? , Embarrassed ,tried magic trick impress classmates magic fail rabbit go,Positive
Perfecting the art of creating origami during a dull lecture. Origami mastery: A+! , Joy ,perfecting art creating origami dull lecture origami mastery,Negative
Attempting to set a new record for the most consecutive hacky sack kicks. Hacky sack skills: Unleashed! , Excitement ,attempting set new record consecutive hacky sack kicks hacky sack skills unleashed,Positive
Creating a secret handshake with friends. Friendship level: Expert! , Joy ,creating secret handshake friends friendship level expert,Negative
Embarking on a mission to find the best burger joint in town. Burger connoisseur: Reporting for duty! , Excitement ,embarking mission find best burger joint town burger connoisseur reporting duty,Positive
Practicing a stand-up comedy routine for the upcoming talent show. Comedy gig: In the making! , Joy ,practicing comedy routine upcoming talent show comedy gig making,Neutral
Accidentally sent a love letter to the wrong person. Love note fail: Maximum embarrassment! , Embarrassed ,accidentally sent love letter wrong person love note fail maximum embarrassment,Neutral
Attempting to impress the teacher with an elaborate science experiment. Science geek mode: Activated! , Excitement ,attempting impress teacher elaborate science experiment science geek mode activated,Positive
Crafting intricate friendship bracelets for the whole squad. Friendship level: Expert weaver! , Joy ,crafting intricate friendship bracelets whole squad friendship level expert weaver,Positive
Attempting to beat the record for the most consecutive cartwheels. Cartwheel challenge: Underway! , Excitement ,attempting beat record consecutive cartwheels cartwheel challenge underway,Neutral
Organizing a movie marathon with friends. Popcorn and cinematic adventures await! , Joy ,organizing movie marathon friends popcorn cinematic adventures await,Neutral
Experimenting with a new hair color. A bold change for a bold semester! , Excitement ,experimenting new hair color bold change bold semester,Positive
Building a time capsule to capture memories for the future. Time-traveling emotions! , Joy ,building time capsule capture memories future emotions,Neutral
Accidentally walked into the wrong classroom on the first day. Classroom mix-up: Awkward start! , Embarrassed ,accidentally walked wrong classroom first day classroom awkward start,Negative
Trying out a new smoothie recipe for a healthy start to the week. Smoothie enthusiast: Level up! , Excitement ,trying new smoothie recipe healthy start week smoothie enthusiast level,Positive
Reflecting on the challenges of the school year. Feeling a bit overwhelmed with assignments. , Sad ,reflecting challenges school year feeling bit overwhelmed assignments,Neutral
Encountered some mean-spirited comments online. Dealing with online hate is never easy. , Hate ,encountered comments online dealing online hate never easy,Negative
Had a bad day at school. Everything seems to be going wrong. , Bad ,bad day school everything seems going wrong,Negative
Feeling down after not making the sports team. Disappointment lingers. , Sad ,feeling making sports team disappointment lingers,Negative
Witnessed a heated argument in the cafeteria. Unpleasant atmosphere at lunch. , Hate ,witnessed heated argument cafeteria unpleasant atmosphere lunch,Negative
Received a not-so-great grade on a major project. Academic frustration setting in. , Bad ,received grade major project academic frustration setting,Positive
Dealing with a personal setback. Sometimes life throws unexpected challenges. , Sad ,dealing personal setback sometimes life throws unexpected challenges,Positive
Feeling lonely on a Saturday night. Sometimes solitude hits harder than expected. , Sad ,feeling lonely saturday night sometimes solitude hits harder expected,Negative
Experiencing cyberbullying. Hateful messages online are disheartening. , Hate ,experiencing cyberbullying hateful messages online disheartening,Neutral
Caught in a torrential rainstorm without an umbrella. Today's weather is just bad luck. , Bad ,caught torrential rainstorm without umbrella today weather bad luck,Negative
Missing an important event due to unforeseen circumstances. A day filled with sadness. , Sad ,missing important event due unforeseen circumstances day filled sadness,Positive
Dealing with unfounded rumors circulating about personal life. Rumors can be hurtful. , Hate ,dealing unfounded rumors circulating personal life rumors hurtful,Neutral
Got a flat tire on the way to an important meeting. Talk about a series of bad events! , Bad ,got flat tire way important meeting talk series bad events,Negative
Feeling a sense of emptiness after a close friend moves away. Farewells are always sad. , Sad ,feeling sense emptiness close friend moves away farewells always sad,Negative
Facing rejection from a dream college. Disheartened but determined to explore other paths. , Sad ,facing rejection dream college disheartened determined explore paths,Neutral
Encountering online toxicity during a gaming session. Hateful comments can ruin the fun. , Hate ,encountering online toxicity gaming session hateful comments ruin fun,Positive
Having a bad hair day and feeling self-conscious. Bad hair days can affect confidence. , Bad ,bad hair day feeling bad hair days affect confidence,Negative
Feeling a sense of despair after a major project failure. Hard work didn't pay off this time. , Sad ,feeling sense despair major project failure hard work pay time,Negative
Experiencing hate comments for expressing personal opinions. Online negativity prevails. , Hate ,experiencing hate comments expressing personal opinions online negativity prevails,Negative
Having a string of bad luck with constant technology malfunctions. Tech troubles galore! , Bad ,string bad luck constant technology malfunctions tech troubles galore,Negative
Missing out on a long-anticipated event due to unexpected circumstances. A day filled with sadness. , Sad ,missing event due unexpected circumstances day filled sadness,Positive
Trying out a new study technique for upcoming exams. Exploring different learning strategies. , Neutral ,trying new study technique upcoming exams exploring different learning strategies,Positive
Organizing a community cleanup event for a cleaner neighborhood. Promoting environmental awareness. , Neutral ,organizing community cleanup event cleaner neighborhood promoting environmental awareness,Neutral
Sharing favorite book recommendations with classmates. Building a mini book club. , Neutral ,sharing favorite book recommendations classmates building mini book club,Positive
Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen. , Neutral ,experimenting new recipe school bake sale baking adventures kitchen,Positive
Collaborating on a school project with peers. Teamwork makes the dream work. , Neutral ,collaborating school project peers teamwork makes dream work,Neutral
Attending a school club meeting to explore new interests. Dabbling in extracurricular activities. , Neutral ,attending school club meeting explore new interests dabbling extracurricular activities,Positive
Exploring a new part-time job opportunity for gaining work experience. Career development in progress. , Neutral ,exploring new job opportunity gaining work experience career development progress,Positive
Attending a school assembly to stay informed about upcoming events and announcements. Staying connected with school activities. , Neutral ,attending school assembly stay informed upcoming events announcements staying connected school activities,Neutral
Exploring a new hobby of photography during free time. Capturing moments through a lens. , Neutral ,exploring new hobby photography free time capturing moments lens,Positive
Participating in a science fair to showcase a unique experiment. Sharing knowledge with peers. , Neutral ,participating science fair showcase unique experiment sharing knowledge peers,Positive
Attending a workshop on time management to enhance organizational skills. Striving for efficiency. , Neutral ,attending workshop time management enhance organizational skills striving efficiency,Neutral
Volunteering at a local charity event to give back to the community. Contributing to social causes. , Neutral ,volunteering local charity event give back community contributing social causes,Positive
Collaborating on a group project to promote teamwork and shared responsibilities. Group effort in action. , Neutral ,collaborating group project promote teamwork shared responsibilities group effort action,Positive
Participating in a debate club to enhance critical thinking and communication skills. Intellectual engagement in progress. , Neutral ,participating debate club enhance critical thinking communication skills intellectual engagement progress,Positive
Celebrating a friend's birthday with a surprise party. Joyful moments and laughter all around! , Happy ,celebrating friend birthday surprise party joyful moments laughter around,Neutral
Successfully completing a challenging coding project. Excitement for overcoming coding hurdles! , Happy ,successfully completing challenging coding project excitement overcoming coding hurdles,Positive
Attending a school talent show to support classmates. Applauding the diverse talents on display! , Happy ,attending school talent show support classmates applauding diverse talents display,Neutral
"Exploring a new hiking trail with friends over the weekend. Nature, laughter, and good vibes! ", Happy ,exploring new hiking trail friends weekend nature laughter good vibes,Positive
Winning a friendly sports competition against rival schools. Victory celebrations in full swing! , Happy ,winning friendly sports competition rival schools victory celebrations full swing,Positive
Receiving a heartfelt letter from a pen pal in another country. Connecting across the globe! , Happy ,receiving heartfelt letter pen pal another country connecting across globe,Neutral
Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! , Happy ,creating beautiful mural fellow art enthusiasts power collaboration creativity,Positive
Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes! , Happy ,participating art exhibition witnessing creativity spreading positive vibes,Positive
Achieving a personal best in a track and field competition. The thrill of victory and self-improvement! , Happy ,achieving personal best track field competition thrill victory,Positive
Collaborating on a science project that received recognition at a regional fair. Science triumphs and smiles! , Happy ,collaborating science project received recognition regional fair science triumphs smiles,Positive
"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! ", Happy ,attending surprise birthday party organized friends surrounded love laughter good company,Positive
Successfully fundraising for a school charity initiative. The joy of giving back to the community! , Happy ,successfully fundraising school charity initiative joy giving back community,Positive
"Participating in a multicultural festival, celebrating diversity with music, dance, and delicious food! ", Happy ,participating multicultural festival celebrating diversity music dance delicious food,Positive
"Organizing a virtual talent show during challenging times, bringing smiles to classmates' faces! ", Happy ,organizing virtual talent show challenging times bringing smiles classmates faces,Positive
